state,year,term,start,end
Tas,1899,4,1899-12-31,1899-12-31
NT,1998,4,1998-10-12,1998-12-18
ACT,1998,4,1998-10-12,1998-12-18
NSW,1999,1,1999-01-27,1999-04-01
Vic,1999,1,1999-01-27,1999-04-01
Qld,1999,1,1999-01-27,1999-04-01
SA,1999,1,1999-01-27,1999-04-01
WA,1999,1,1999-01-27,1999-04-01
Tas,1999,1,1999-02-11,1999-05-28
NT,1999,1,1999-02-02,1999-04-09
ACT,1999,1,1999-01-29,1999-04-01
NSW,1999,2,1999-04-19,1999-07-02
Vic,1999,2,1999-04-19,1999-06-25
Qld,1999,2,1999-04-13,1999-06-18
SA,1999,2,1999-04-19,1999-07-02
WA,1999,2,1999-04-19,1999-07-02
Tas,1999,2,1999-06-15,1999-09-03
NT,1999,2,1999-04-19,1999-06-25
ACT,1999,2,1999-04-19,1999-07-02
NSW,1999,3,1999-07-19,1999-09-24
Vic,1999,3,1999-07-12,1999-09-17
Qld,1999,3,1999-07-06,1999-09-17
SA,1999,3,1999-07-19,1999-09-24
WA,1999,3,1999-07-19,1999-09-24
Tas,1999,3,1999-09-20,1999-12-17
NT,1999,3,1999-07-26,1999-10-01
ACT,1999,3,1999-07-19,1999-09-24
NSW,2000,1,2000-01-28,2000-04-14
Vic,2000,1,2000-01-25,2000-04-07
Qld,2000,1,2000-01-31,2000-04-20
SA,2000,1,2000-01-31,2000-04-14
WA,2000,1,2000-02-01,2000-04-07
Tas,2000,1,2000-02-15,2000-04-20
NT,2000,1,2000-01-31,2000-04-07
ACT,2000,1,2000-01-28,2000-04-14
NSW,2000,2,2000-05-01,2000-06-30
Vic,2000,2,2000-04-26,2000-06-23
Qld,2000,2,2000-05-02,2000-06-30
SA,2000,2,2000-05-01,2000-07-07
WA,2000,2,2000-04-26,2000-06-30
Tas,2000,2,2000-05-02,2000-06-02
NT,2000,2,2000-04-17,2000-06-23
ACT,2000,2,2000-05-01,2000-06-30
NSW,2000,3,2000-07-17,2000-09-08
Vic,2000,3,2000-07-10,2000-09-15
Qld,2000,3,2000-07-18,2000-09-15
SA,2000,3,2000-07-24,2000-09-15
WA,2000,3,2000-07-17,2000-09-22
Tas,2000,3,2000-06-19,2000-09-14
NT,2000,3,2000-07-24,2000-09-29
ACT,2000,3,2000-07-17,2000-09-08
